  Frequency            , NTOT(onoise)         
  1.000000000000e+00  ,9.087951321531e-18  
  1.002305238078e+00  ,9.087951321531e-18  
  1.004615790278e+00  ,9.087951321531e-18  
  1.006931668852e+00  ,9.087951321531e-18  
  1.009252886077e+00  ,9.087951321531e-18  
  1.011579454260e+00  ,9.087951321531e-18  
  1.013911385737e+00  ,9.087951321531e-18  
  1.016248692871e+00  ,9.087951321531e-18  
  1.018591388054e+00  ,9.087951321531e-18  
  1.020939483708e+00  ,9.087951321531e-18  
  1.023292992281e+00  ,9.087951321531e-18  
  1.025651926251e+00  ,9.087951321531e-18  
  1.028016298126e+00  ,9.087951321531e-18  
  1.030386120442e+00  ,9.087951321531e-18  
  1.032761405761e+00  ,9.087951321531e-18  
  1.035142166679e+00  ,9.087951321531e-18  
  1.037528415818e+00  ,9.087951321531e-18  
  1.039920165829e+00  ,9.087951321531e-18  
  1.042317429393e+00  ,9.087951321531e-18  
  1.044720219221e+00  ,9.087951321531e-18  
  1.047128548051e+00  ,9.087951321531e-18  
  1.049542428652e+00  ,9.087951321531e-18  
  1.051961873823e+00  ,9.087951321531e-18  
  1.054386896391e+00  ,9.087951321531e-18  
  1.056817509214e+00  ,9.087951321531e-18  
  1.059253725177e+00  ,9.087951321531e-18  
  1.061695557199e+00  ,9.087951321531e-18  
  1.064143018224e+00  ,9.087951321531e-18  
  1.066596121230e+00  ,9.087951321531e-18  
  1.069054879223e+00  ,9.087951321531e-18  
  1.071519305238e+00  ,9.087951321531e-18  
  1.073989412341e+00  ,9.087951321531e-18  
  1.076465213630e+00  ,9.087951321531e-18  
  1.078946722230e+00  ,9.087951321531e-18  
  1.081433951298e+00  ,9.087951321531e-18  
  1.083926914021e+00  ,9.087951321531e-18  
  1.086425623617e+00  ,9.087951321531e-18  
  1.088930093333e+00  ,9.087951321531e-18  
  1.091440336449e+00  ,9.087951321531e-18  
  1.093956366272e+00  ,9.087951321531e-18  
  1.096478196143e+00  ,9.087951321531e-18  
  1.099005839433e+00  ,9.087951321531e-18  
  1.101539309541e+00  ,9.087951321531e-18  
  1.104078619902e+00  ,9.087951321531e-18  
  1.106623783978e+00  ,9.087951321531e-18  
  1.109174815262e+00  ,9.087951321531e-18  
  1.111731727282e+00  ,9.087951321531e-18  
  1.114294533592e+00  ,9.087951321531e-18  
  1.116863247781e+00  ,9.087951321531e-18  
  1.119437883467e+00  ,9.087951321531e-18  
  1.122018454302e+00  ,9.087951321531e-18  
  1.124604973967e+00  ,9.087951321531e-18  
  1.127197456176e+00  ,9.087951321531e-18  
  1.129795914673e+00  ,9.087951321531e-18  
  1.132400363236e+00  ,9.087951321531e-18  
  1.135010815672e+00  ,9.087951321531e-18  
