  Frequency            , I(Rload)             
  1.355189412351e+00  ,2.118705936052e-05  
  1.358313446587e+00  ,2.118705936105e-05  
  1.361444682466e+00  ,2.118705936158e-05  
  1.364583136589e+00  ,2.118705936211e-05  
  1.367728825596e+00  ,2.118705936264e-05  
  1.370881766165e+00  ,2.118705936318e-05  
  1.374041975013e+00  ,2.118705936372e-05  
  1.377209468894e+00  ,2.118705936426e-05  
  1.380384264603e+00  ,2.118705936480e-05  
  1.383566378972e+00  ,2.118705936535e-05  
  1.386755828872e+00  ,2.118705936589e-05  
  1.389952631213e+00  ,2.118705936644e-05  
  1.393156802945e+00  ,2.118705936700e-05  
  1.396368361056e+00  ,2.118705936755e-05  
  1.399587322573e+00  ,2.118705936811e-05  
  1.402813704562e+00  ,2.118705936867e-05  
  1.406047524130e+00  ,2.118705936924e-05  
  1.409288798422e+00  ,2.118705936980e-05  
  1.412537544623e+00  ,2.118705937037e-05  
  1.415793779957e+00  ,2.118705937094e-05  
  1.419057521689e+00  ,2.118705937152e-05  
  1.422328787123e+00  ,2.118705937209e-05  
  1.425607593602e+00  ,2.118705937267e-05  
  1.428893958511e+00  ,2.118705937325e-05  
  1.432187899274e+00  ,2.118705937384e-05  
  1.435489433354e+00  ,2.118705937443e-05  
  1.438798578256e+00  ,2.118705937502e-05  
  1.442115351525e+00  ,2.118705937561e-05  
  1.445439770746e+00  ,2.118705937620e-05  
  1.448771853545e+00  ,2.118705937680e-05  
  1.452111617588e+00  ,2.118705937740e-05  
  1.455459080582e+00  ,2.118705937801e-05  
  1.458814260275e+00  ,2.118705937861e-05  
  1.462177174457e+00  ,2.118705937922e-05  
  1.465547840956e+00  ,2.118705937984e-05  
  1.468926277644e+00  ,2.118705938045e-05  
  1.472312502433e+00  ,2.118705938107e-05  
  1.475706533276e+00  ,2.118705938169e-05  
  1.479108388168e+00  ,2.118705938231e-05  
  1.482518085146e+00  ,2.118705938294e-05  
  1.485935642287e+00  ,2.118705938357e-05  
  1.489361077711e+00  ,2.118705938420e-05  
  1.492794409579e+00  ,2.118705938484e-05  
  1.496235656094e+00  ,2.118705938548e-05  
  1.499684835502e+00  ,2.118705938612e-05  
  1.503141966090e+00  ,2.118705938676e-05  
  1.506607066187e+00  ,2.118705938741e-05  
  1.510080154164e+00  ,2.118705938806e-05  
  1.513561248436e+00  ,2.118705938871e-05  
  1.517050367459e+00  ,2.118705938937e-05  
  1.520547529732e+00  ,2.118705939003e-05  
  1.524052753797e+00  ,2.118705939069e-05  
  1.527566058238e+00  ,2.118705939135e-05  
  1.531087461682e+00  ,2.118705939202e-05  
  1.534616982799e+00  ,2.118705939269e-05  
  1.538154640303e+00  ,2.118705939337e-05  
  1.541700452950e+00  ,2.118705939404e-05  
  1.545254439538e+00  ,2.118705939472e-05  
  1.548816618912e+00  ,2.118705939541e-05  
  1.552387009958e+00  ,2.118705939610e-05  
  1.555965631605e+00  ,2.118705939679e-05  
  1.559552502827e+00  ,2.118705939748e-05  
  1.563147642641e+00  ,2.118705939818e-05  
  1.566751070108e+00  ,2.118705939887e-05  
  1.570362804334e+00  ,2.118705939958e-05  
  1.573982864466e+00  ,2.118705940028e-05  
  1.577611269699e+00  ,2.118705940099e-05  
  1.581248039270e+00  ,2.118705940171e-05  
  1.584893192461e+00  ,2.118705940242e-05  
  1.588546748598e+00  ,2.118705940314e-05  
  1.592208727051e+00  ,2.118705940386e-05  
  1.595879147237e+00  ,2.118705940459e-05  
  1.599558028615e+00  ,2.118705940532e-05  
  1.603245390690e+00  ,2.118705940605e-05  
  1.606941253013e+00  ,2.118705940679e-05  
  1.610645635178e+00  ,2.118705940753e-05  
  1.614358556826e+00  ,2.118705940827e-05  
  1.618080037643e+00  ,2.118705940902e-05  
  1.621810097359e+00  ,2.118705940977e-05  
  1.625548755750e+00  ,2.118705941052e-05  
  1.629296032640e+00  ,2.118705941128e-05  
  1.633051947894e+00  ,2.118705941204e-05  
  1.636816521428e+00  ,2.118705941280e-05  
  1.640589773200e+00  ,2.118705941357e-05  
  1.644371723215e+00  ,2.118705941434e-05  
  1.648162391525e+00  ,2.118705941511e-05  
  1.651961798229e+00  ,2.118705941589e-05  
  1.655769963470e+00  ,2.118705941667e-05  
  1.659586907438e+00  ,2.118705941746e-05  
  1.663412650370e+00  ,2.118705941825e-05  
  1.667247212551e+00  ,2.118705941904e-05  
  1.671090614311e+00  ,2.118705941983e-05  
  1.674942876026e+00  ,2.118705942063e-05  
  1.678804018123e+00  ,2.118705942144e-05  
  1.682674061070e+00  ,2.118705942224e-05  
  1.686553025389e+00  ,2.118705942305e-05  
  1.690440931643e+00  ,2.118705942387e-05  
  1.694337800447e+00  ,2.118705942469e-05  
  1.698243652462e+00  ,2.118705942551e-05  
  1.702158508395e+00  ,2.118705942634e-05  
  1.706082389003e+00  ,2.118705942717e-05  
  1.710015315090e+00  ,2.118705942800e-05  
  1.713957307508e+00  ,2.118705942884e-05  
  1.717908387158e+00  ,2.118705942968e-05  
  1.721868574986e+00  ,2.118705943052e-05  
  1.725837891990e+00  ,2.118705943137e-05  
  1.729816359215e+00  ,2.118705943222e-05  
  1.733803997754e+00  ,2.118705943308e-05  
  1.737800828749e+00  ,2.118705943394e-05  
  1.741806873392e+00  ,2.118705943481e-05  
  1.745822152920e+00  ,2.118705943568e-05  
  1.749846688625e+00  ,2.118705943655e-05  
  1.753880501842e+00  ,2.118705943743e-05  
