  Frequency            , SQRT(S(NTOT(ONOISE)))
  1.355189412351e+00  ,1.796648014879e-09  
  1.358313446587e+00  ,1.804531839684e-09  
  1.361444682466e+00  ,1.812399426086e-09  
  1.364583136589e+00  ,1.820251026087e-09  
  1.367728825596e+00  ,1.828086887032e-09  
  1.370881766165e+00  ,1.835907251729e-09  
  1.374041975013e+00  ,1.843712358564e-09  
  1.377209468894e+00  ,1.851502441621e-09  
  1.380384264603e+00  ,1.859277730783e-09  
  1.383566378972e+00  ,1.867038451846e-09  
  1.386755828872e+00  ,1.874784826615e-09  
  1.389952631213e+00  ,1.882517073009e-09  
  1.393156802945e+00  ,1.890235405153e-09  
  1.396368361056e+00  ,1.897940033476e-09  
  1.399587322573e+00  ,1.905631164796e-09  
  1.402813704562e+00  ,1.913309002410e-09  
  1.406047524130e+00  ,1.920973746182e-09  
  1.409288798422e+00  ,1.928625592619e-09  
  1.412537544623e+00  ,1.936264734956e-09  
  1.415793779957e+00  ,1.943891363231e-09  
  1.419057521689e+00  ,1.951505664361e-09  
  1.422328787123e+00  ,1.959107822212e-09  
  1.425607593602e+00  ,1.966698017676e-09  
  1.428893958511e+00  ,1.974276428732e-09  
  1.432187899274e+00  ,1.981843230519e-09  
  1.435489433354e+00  ,1.989398595395e-09  
  1.438798578256e+00  ,1.996942693005e-09  
  1.442115351525e+00  ,2.004475690339e-09  
  1.445439770746e+00  ,2.011997751791e-09  
  1.448771853545e+00  ,2.019509039219e-09  
  1.452111617588e+00  ,2.027009711998e-09  
  1.455459080582e+00  ,2.034499927077e-09  
  1.458814260275e+00  ,2.041979839030e-09  
  1.462177174457e+00  ,2.049449600109e-09  
  1.465547840956e+00  ,2.056909360291e-09  
  1.468926277644e+00  ,2.064359267331e-09  
  1.472312502433e+00  ,2.071799466806e-09  
  1.475706533276e+00  ,2.079230102164e-09  
  1.479108388168e+00  ,2.086651314765e-09  
  1.482518085146e+00  ,2.094063243927e-09  
  1.485935642287e+00  ,2.101466026968e-09  
  1.489361077711e+00  ,2.108859799249e-09  
  1.492794409579e+00  ,2.116244694211e-09  
  1.496235656094e+00  ,2.123620843417e-09  
  1.499684835502e+00  ,2.130988376588e-09  
  1.503141966090e+00  ,2.138347421643e-09  
  1.506607066187e+00  ,2.145698104732e-09  
  1.510080154164e+00  ,2.153040550274e-09  
  1.513561248436e+00  ,2.160374880990e-09  
  1.517050367459e+00  ,2.167701217938e-09  
  1.520547529732e+00  ,2.175019680544e-09  
  1.524052753797e+00  ,2.182330386634e-09  
  1.527566058238e+00  ,2.189633452466e-09  
  1.531087461682e+00  ,2.196928992763e-09  
  1.534616982799e+00  ,2.204217120736e-09  
  1.538154640303e+00  ,2.211497948118e-09  
  1.541700452950e+00  ,2.218771585192e-09  
  1.545254439538e+00  ,2.226038140817e-09  
  1.548816618912e+00  ,2.233297722455e-09  
  1.552387009958e+00  ,2.240550436198e-09  
  1.555965631605e+00  ,2.247796386791e-09  
  1.559552502827e+00  ,2.255035677663e-09  
  1.563147642641e+00  ,2.262268410944e-09  
  1.566751070108e+00  ,2.269494687495e-09  
  1.570362804334e+00  ,2.276714606927e-09  
  1.573982864466e+00  ,2.283928267626e-09  
  1.577611269699e+00  ,2.291135766775e-09  
  1.581248039270e+00  ,2.298337200374e-09  
  1.584893192461e+00  ,2.305532663265e-09  
  1.588546748598e+00  ,2.312722249148e-09  
  1.592208727051e+00  ,2.319906050604e-09  
  1.595879147237e+00  ,2.327084159115e-09  
  1.599558028615e+00  ,2.334256665083e-09  
  1.603245390690e+00  ,2.341423657848e-09  
  1.606941253013e+00  ,2.348585225707e-09  
  1.610645635178e+00  ,2.355741455934e-09  
  1.614358556826e+00  ,2.362892434794e-09  
  1.618080037643e+00  ,2.370038247563e-09  
  1.621810097359e+00  ,2.377178978545e-09  
  1.625548755750e+00  ,2.384314711087e-09  
  1.629296032640e+00  ,2.391445527597e-09  
  1.633051947894e+00  ,2.398571509558e-09  
  1.636816521428e+00  ,2.405692737546e-09  
  1.640589773200e+00  ,2.412809291243e-09  
  1.644371723215e+00  ,2.419921249452e-09  
  1.648162391525e+00  ,2.427028690113e-09  
  1.651961798229e+00  ,2.434131690317e-09  
  1.655769963470e+00  ,2.441230326318e-09  
  1.659586907438e+00  ,2.448324673550e-09  
  1.663412650370e+00  ,2.455414806637e-09  
  1.667247212551e+00  ,2.462500799409e-09  
  1.671090614311e+00  ,2.469582724914e-09  
  1.674942876026e+00  ,2.476660655427e-09  
  1.678804018123e+00  ,2.483734662471e-09  
  1.682674061070e+00  ,2.490804816817e-09  
  1.686553025389e+00  ,2.497871188509e-09  
  1.690440931643e+00  ,2.504933846864e-09  
  1.694337800447e+00  ,2.511992860492e-09  
  1.698243652462e+00  ,2.519048297302e-09  
  1.702158508395e+00  ,2.526100224514e-09  
  1.706082389003e+00  ,2.533148708673e-09  
  1.710015315090e+00  ,2.540193815653e-09  
  1.713957307508e+00  ,2.547235610674e-09  
  1.717908387158e+00  ,2.554274158309e-09  
  1.721868574986e+00  ,2.561309522493e-09  
  1.725837891990e+00  ,2.568341766535e-09  
  1.729816359215e+00  ,2.575370953126e-09  
  1.733803997754e+00  ,2.582397144348e-09  
  1.737800828749e+00  ,2.589420401684e-09  
  1.741806873392e+00  ,2.596440786030e-09  
  1.745822152920e+00  ,2.603458357697e-09  
  1.749846688625e+00  ,2.610473176425e-09  
  1.753880501842e+00  ,2.617485301389e-09  
  1.757923613959e+00  ,2.624494791211e-09  
  1.761976046412e+00  ,2.631501703963e-09  
  1.766037820686e+00  ,2.638506097178e-09  
  1.770108958317e+00  ,2.645508027858e-09  
  1.774189480890e+00  ,2.652507552481e-09  
  1.778279410039e+00  ,2.659504727009e-09  
  1.782378767448e+00  ,2.666499606894e-09  
  1.786487574852e+00  ,2.673492247089e-09  
  1.790605854035e+00  ,2.680482702050e-09  
  1.794733626833e+00  ,2.687471025749e-09  
  1.798870915129e+00  ,2.694457271674e-09  
  1.803017740860e+00  ,2.701441492844e-09  
  1.807174126011e+00  ,2.708423741808e-09  
  1.811340092620e+00  ,2.715404070656e-09  
  1.815515662773e+00  ,2.722382531025e-09  
  1.819700858610e+00  ,2.729359174104e-09  
  1.823895702320e+00  ,2.736334050641e-09  
  1.828100216143e+00  ,2.743307210951e-09  
  1.832314422371e+00  ,2.750278704917e-09  
  1.836538343348e+00  ,2.757248582001e-09  
  1.840772001469e+00  ,2.764216891247e-09  
  1.845015419179e+00  ,2.771183681290e-09  
  1.849268618978e+00  ,2.778149000356e-09  
  1.853531623415e+00  ,2.785112896272e-09  
  1.857804455092e+00  ,2.792075416472e-09  
  1.862087136663e+00  ,2.799036607998e-09  
  1.866379690835e+00  ,2.805996517508e-09  
  1.870682140366e+00  ,2.812955191284e-09  
  1.874994508067e+00  ,2.819912675230e-09  
  1.879316816803e+00  ,2.826869014884e-09  
  1.883649089490e+00  ,2.833824255419e-09  
  1.887991349096e+00  ,2.840778441647e-09  
  1.892343618645e+00  ,2.847731618029e-09  
  1.896705921211e+00  ,2.854683828674e-09  
  1.901078279923e+00  ,2.861635117347e-09  
  1.905460717963e+00  ,2.868585527470e-09  
  1.909853258566e+00  ,2.875535102131e-09  
  1.914255925021e+00  ,2.882483884086e-09  
  1.918668740670e+00  ,2.889431915762e-09  
  1.923091728910e+00  ,2.896379239265e-09  
  1.927524913191e+00  ,2.903325896379e-09  
  1.931968317017e+00  ,2.910271928576e-09  
  1.936421963947e+00  ,2.917217377015e-09  
  1.940885877593e+00  ,2.924162282548e-09  
  1.945360081623e+00  ,2.931106685726e-09  
  1.949844599758e+00  ,2.938050626797e-09  
  1.954339455775e+00  ,2.944994145716e-09  
  1.958844673506e+00  ,2.951937282147e-09  
  1.963360276836e+00  ,2.958880075465e-09  
  1.967886289707e+00  ,2.965822564759e-09  
  1.972422736115e+00  ,2.972764788839e-09  
  1.976969640112e+00  ,2.979706786238e-09  
  1.981527025805e+00  ,2.986648595212e-09  
  1.986094917357e+00  ,2.993590253751e-09  
  1.990673338987e+00  ,3.000531799574e-09  
  1.995262314969e+00  ,3.007473270137e-09  
  1.999861869633e+00  ,3.014414702638e-09  
  2.004472027365e+00  ,3.021356134012e-09  
  2.009092812609e+00  ,3.028297600946e-09  
  2.013724249862e+00  ,3.035239139871e-09  
  2.018366363682e+00  ,3.042180786972e-09  
  2.023019178678e+00  ,3.049122578189e-09  
  2.027682719521e+00  ,3.056064549218e-09  
  2.032357010936e+00  ,3.063006735518e-09  
  2.037042077706e+00  ,3.069949172310e-09  
  2.041737944669e+00  ,3.076891894583e-09  
  2.046444636725e+00  ,3.083834937092e-09  
  2.051162178826e+00  ,3.090778334368e-09  
  2.055890595984e+00  ,3.097722120715e-09  
  2.060629913270e+00  ,3.104666330213e-09  
  2.065380155810e+00  ,3.111610996724e-09  
  2.070141348791e+00  ,3.118556153891e-09  
  2.074913517455e+00  ,3.125501835144e-09  
  2.079696687104e+00  ,3.132448073698e-09  
  2.084490883097e+00  ,3.139394902562e-09  
  2.089296130854e+00  ,3.146342354534e-09  
  2.094112455851e+00  ,3.153290462208e-09  
  2.098939883623e+00  ,3.160239257977e-09  
  2.103778439766e+00  ,3.167188774032e-09  
  2.108628149933e+00  ,3.174139042366e-09  
  2.113489039837e+00  ,3.181090094778e-09  
  2.118361135248e+00  ,3.188041962872e-09  
  2.123244462000e+00  ,3.194994678061e-09  
  2.128139045983e+00  ,3.201948271570e-09  
  2.133044913147e+00  ,3.208902774436e-09  
  2.137962089502e+00  ,3.215858217513e-09  
  2.142890601120e+00  ,3.222814631470e-09  
  2.147830474130e+00  ,3.229772046797e-09  
  2.152781734724e+00  ,3.236730493805e-09  
