  Time                 , V(3)                 
  1.600000000000e-09  ,0.000000000000e+00  
  3.200000000000e-09  ,0.000000000000e+00  
  6.400024366379e-09  ,0.000000000000e+00  
  1.280007309914e-08  ,0.000000000000e+00  
  2.560017056465e-08  ,0.000000000000e+00  
  5.120036549568e-08  ,0.000000000000e+00  
  1.024007553577e-07  ,0.000000000000e+00  
  2.048015350819e-07  ,0.000000000000e+00  
  3.648042435169e-07  ,0.000000000000e+00  
  5.248069519520e-07  ,0.000000000000e+00  
  6.848096603870e-07  ,0.000000000000e+00  
  8.448123688221e-07  ,0.000000000000e+00  
  9.745120758533e-07  ,0.000000000000e+00  
  9.770608682680e-07  ,0.000000000000e+00  
  9.821585555124e-07  ,0.000000000000e+00  
  9.923539300013e-07  ,0.000000000000e+00  
  1.000000000016e-06  ,8.000014722347e-02  
  1.000000000114e-06  ,5.720002651215e-01  
  1.000000000311e-06  ,1.555991053581e+00  
  1.000000000705e-06  ,3.523972511292e+00  
  1.000000001016e-06  ,5.000000000000e+00  
  1.000000001017e-06  ,5.000000000000e+00  
  1.000000001020e-06  ,5.000000000000e+00  
  1.000000001025e-06  ,5.000000000000e+00  
  1.000000001034e-06  ,5.000000000000e+00  
  1.000000001054e-06  ,5.000000000000e+00  
  1.000000001093e-06  ,5.000000000000e+00  
  1.000000001172e-06  ,5.000000000000e+00  
  1.000000001330e-06  ,5.000000000000e+00  
  1.000000001644e-06  ,5.000000000000e+00  
  1.000000002274e-06  ,5.000000000000e+00  
  1.000000003534e-06  ,5.000000000000e+00  
  1.000000006053e-06  ,5.000000000000e+00  
  1.000000011090e-06  ,5.000000000000e+00  
  1.000000021166e-06  ,5.000000000000e+00  
  1.000000041317e-06  ,5.000000000000e+00  
  1.000000081619e-06  ,5.000000000000e+00  
  1.000000162223e-06  ,5.000000000000e+00  
  1.000000323431e-06  ,5.000000000000e+00  
  1.000000645847e-06  ,5.000000000000e+00  
  1.000001290678e-06  ,5.000000000000e+00  
  1.000002580342e-06  ,5.000000000000e+00  
  1.000005159669e-06  ,5.000000000000e+00  
  1.000010318323e-06  ,5.000000000000e+00  
  1.000020635631e-06  ,5.000000000000e+00  
  1.000041270246e-06  ,5.000000000000e+00  
  1.000082539478e-06  ,5.000000000000e+00  
  1.000165077941e-06  ,5.000000000000e+00  
  1.000330154867e-06  ,5.000000000000e+00  
  1.000660308720e-06  ,5.000000000000e+00  
  1.001320616426e-06  ,5.000000000000e+00  
  1.002641231836e-06  ,5.000000000000e+00  
  1.005282462658e-06  ,5.000000000000e+00  
  1.010564924301e-06  ,5.000000000000e+00  
  1.015945733608e-06  ,5.000000000000e+00  
  1.023454428734e-06  ,5.000000000000e+00  
  1.032363833012e-06  ,5.000000000000e+00  
  1.050182641567e-06  ,5.000000000000e+00  
  1.085820258678e-06  ,5.000000000000e+00  
  1.157095492901e-06  ,5.000000000000e+00  
